county,age,confirmed,deaths
Ringgold,Adult,0,0
Ringgold,Middle Age,0,0
Ringgold,Older Adult,0,0
Ringgold,Elderly,0,0
Sac,Child,0,0
Sac,Adult,0,0
Sac,Middle Age,0,0
Sac,Older Adult,0,0
Sac,Elderly,0,0
Scott,Child,1,0
Scott,Adult,37,0
Scott,Middle Age,61,0
Scott,Older Adult,25,0
Scott,Elderly,5,0
Shelby,Child,0,2
Shelby,Adult,0,0
Shelby,Middle Age,3,0
Shelby,Older Adult,3,0
Shelby,Elderly,1,0
Sioux,Child,0,0
Sioux,Adult,1,0
Sioux,Middle Age,1,0
Sioux,Older Adult,5,0
Sioux,Elderly,0,0
Story,Child,0,0
Story,Adult,4,0
Story,Middle Age,3,0
Story,Older Adult,3,0
Story,Elderly,1,0
Tama,Child,0,0
Tama,Adult,33,0
Tama,Middle Age,39,0
Tama,Older Adult,21,0
Tama,Elderly,18,3
Taylor,Child,0,0
Taylor,Adult,1,0
Taylor,Middle Age,0,0
Taylor,Older Adult,0,0
Taylor,Elderly,0,0
Union,Child,0,0
Union,Adult,0,0
Union,Middle Age,0,0
Union,Older Adult,1,0
Union,Elderly,0,0
Van Buren,Child,0,0
Van Buren,Adult,1,0
Van Buren,Middle Age,2,0
Van Buren,Older Adult,5,0
Van Buren,Elderly,0,0
Wapello,Child,0,0
Wapello,Adult,2,0
Wapello,Middle Age,4,0
Wapello,Older Adult,1,0
Wapello,Elderly,0,0
Warren,Child,1,0
Warren,Adult,5,0
Warren,Middle Age,8,0
Warren,Older Adult,1,0
Warren,Elderly,1,0
Washington,Child,4,0
Washington,Adult,26,0
Washington,Middle Age,39,0
Washington,Older Adult,28,2
Washington,Elderly,4,2
Wayne,Child,0,0
Wayne,Adult,0,0
Wayne,Middle Age,0,0
Wayne,Older Adult,0,0
Wayne,Elderly,0,0
Webster,Child,0,0
Webster,Adult,1,0
Webster,Middle Age,0,0
Webster,Older Adult,1,0
Webster,Elderly,0,0
Winnebago,Child,0,0
Winnebago,Adult,1,0
Winnebago,Middle Age,1,0
Winnebago,Older Adult,0,0
Winnebago,Elderly,0,0
Winneshiek,Child,0,0
Winneshiek,Adult,2,0
Winneshiek,Middle Age,2,0
Winneshiek,Older Adult,1,0
Winneshiek,Elderly,0,0
Woodbury,Child,0,0
Woodbury,Adult,5,0
Woodbury,Middle Age,13,0
Woodbury,Older Adult,3,0
Woodbury,Elderly,0,0
Worth,Child,0,0
Worth,Adult,0,0
Worth,Middle Age,1,0
Worth,Older Adult,0,0
Worth,Elderly,0,0
Wright,Child,0,0
Wright,Adult,0,0
Wright,Middle Age,1,0
Wright,Older Adult,0,0
Wright,Elderly,0,0
